	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-0.957***	-0.951***	-0.907***	-0.951***	-0.907***	-0.935***
	(0.144)	(0.146)	(0.143)	(0.146)	(0.143)	(0.144)
i.cash	-3.457***	-3.457***	-3.626***	-3.449***	-3.617***	-3.411***
	(0.888)	(0.887)	(0.876)	(0.887)	(0.877)	(0.889)
i.roa	-0.526	-0.490	-0.543	-0.487	-0.540	-0.483
	(0.531)	(0.543)	(0.539)	(0.543)	(0.539)	(0.545)
i.m2b	-0.090***	-0.089***	-0.086***	-0.089***	-0.086***	-0.086***
	(0.023)	(0.023)	(0.022)	(0.023)	(0.022)	(0.023)
i.div	0.280	0.265	0.262	0.263	0.260	0.264
	(0.166)	(0.174)	(0.175)	(0.174)	(0.175)	(0.174)
j.age	0.013	0.013	-0.009	0.013	-0.009	0.017
	(0.076)	(0.076)	(0.077)	(0.076)	(0.077)	(0.079)
I(j.age^2)	-0.001	-0.001	-0.000	-0.001	-0.000	-0.001
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
i.age	-0.003	-0.003	-0.004	-0.003	-0.004	-0.002
	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)
i.deg.full	0.002**	0.002**	0.002**	0.002**	0.002**	0.002**
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.080***	-0.080***	-0.087***	-0.080***	-0.087***	-0.083***
	(0.018)	(0.018)	(0.018)	(0.018)	(0.018)	(0.018)
ij.same.region	0.453*	0.455*	0.484*	0.450*	0.479*	0.455*
	(0.224)	(0.224)	(0.225)	(0.225)	(0.226)	(0.224)
i.fm.mmc.sum	0.050	0.197	0.069	0.197	0.068	0.204
	(0.249)	(0.531)	(0.499)	(0.532)	(0.499)	(0.538)
i.acqs.100	-0.110	-0.098	-0.100	-0.099	-0.100	-0.105
	(0.150)	(0.155)	(0.158)	(0.155)	(0.158)	(0.155)
j.acqs.100	12.097	12.091	11.876	12.093	11.897	10.597
	(7.112)	(7.098)	(6.879)	(7.096)	(6.879)	(6.679)
ij.cossim	2.437***	2.430***	2.398***	2.426***	2.394***	2.437***
	(0.537)	(0.538)	(0.539)	(0.538)	(0.539)	(0.538)
ij.dist	-0.316***	-0.315***	-0.338***	-0.315***	-0.339***	-0.322***
	(0.094)	(0.094)	(0.095)	(0.094)	(0.096)	(0.095)
j.constraint	-1.469**	-1.462**	-1.540**	-1.460**	-1.539**	-1.455**
	(0.498)	(0.498)	(0.502)	(0.497)	(0.501)	(0.505)
i.constraint	-4.354*	-4.265*	-2.124	-4.291*	-2.151	-4.609*
	(1.957)	(1.968)	(1.967)	(1.975)	(1.971)	(1.916)
i.pow.n3	0.030	0.029	0.031	0.029	0.031	0.025
	(0.070)	(0.070)	(0.068)	(0.071)	(0.068)	(0.071)
ij.syn.constraint	-9.484***	-9.457***	-4.183*	-9.501***	-4.237*	-9.718***
	(1.192)	(1.193)	(2.126)	(1.206)	(2.134)	(1.212)
ij.syn.pow.n3	-0.100*	-0.099*	-0.125*	-0.077	-0.102	-0.087
	(0.050)	(0.049)	(0.054)	(0.093)	(0.097)	(0.048)
I(i.fm.mmc.sum^2)		-0.040	-0.015	-0.041	-0.014	-0.050
		(0.129)	(0.126)	(0.129)	(0.126)	(0.130)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-0.976**		-0.974**	
			(0.366)		(0.365)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				-0.004	-0.004	
				(0.014)	(0.015)	
ij.syn.closeness2						-0.003
						(0.002)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						0.000
						(0.000)
Likelihood-ratio	351.1	351.2	358.0	351.2	358.1	353.9
Log-likelihood	-377.2	-377.2	-373.8	-377.2	-373.7	-375.8
Deviance	754.5	754.4	747.5	754.3	747.4	751.7
AIC	796.5	798.4	793.5	800.3	795.4	799.7
BIC	873.8	879.4	878.2	885.0	883.8	888.1
N	294	294	294	294	294	294
