	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-0.941***	-0.938***	-0.883***	-0.938***	-0.882***	-0.941***
	(0.145)	(0.145)	(0.144)	(0.145)	(0.144)	(0.145)
i.cash	-3.978***	-3.983***	-3.905***	-3.983***	-3.896***	-3.981***
	(0.822)	(0.821)	(0.817)	(0.821)	(0.817)	(0.821)
i.roa	-0.191	-0.190	-0.204	-0.190	-0.206	-0.184
	(0.352)	(0.351)	(0.365)	(0.352)	(0.365)	(0.352)
i.m2b	-0.012	-0.012	-0.012	-0.012	-0.012	-0.012
	(0.014)	(0.013)	(0.009)	(0.013)	(0.009)	(0.013)
i.div	0.096	0.095	0.072	0.095	0.070	0.095
	(0.177)	(0.178)	(0.179)	(0.178)	(0.179)	(0.177)
j.age	-0.030	-0.030	-0.034	-0.030	-0.036	-0.030
	(0.034)	(0.034)	(0.033)	(0.034)	(0.034)	(0.034)
I(j.age^2)	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
i.age	0.000	-0.000	0.001	-0.000	0.001	0.000
	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)	(0.006)
i.deg.full	0.003***	0.004***	0.004***	0.004***	0.004***	0.004***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.086***	-0.086***	-0.098***	-0.086***	-0.098***	-0.086***
	(0.018)	(0.018)	(0.019)	(0.018)	(0.019)	(0.018)
ij.same.region	0.478*	0.478*	0.534*	0.478*	0.527*	0.483*
	(0.215)	(0.215)	(0.222)	(0.216)	(0.222)	(0.216)
i.fm.mmc.sum	-0.500*	-0.356	-0.392	-0.356	-0.392	-0.359
	(0.250)	(0.552)	(0.512)	(0.552)	(0.512)	(0.552)
i.acqs.100	0.071	0.080	0.103	0.080	0.103	0.082
	(0.151)	(0.153)	(0.155)	(0.153)	(0.155)	(0.153)
j.acqs.100	5.794	5.787	6.358	5.784	6.490	5.804
	(3.897)	(3.895)	(3.942)	(3.901)	(3.977)	(3.920)
ij.cossim	2.310***	2.311***	2.328***	2.311***	2.327***	2.316***
	(0.538)	(0.538)	(0.542)	(0.538)	(0.542)	(0.540)
ij.dist	-0.313**	-0.313**	-0.332***	-0.313**	-0.336***	-0.313**
	(0.096)	(0.096)	(0.097)	(0.096)	(0.097)	(0.096)
j.constraint	-0.913*	-0.910*	-0.901*	-0.910*	-0.902*	-0.916*
	(0.446)	(0.446)	(0.441)	(0.446)	(0.441)	(0.447)
i.constraint	-4.574**	-4.324*	-2.697	-4.325*	-2.652	-4.323*
	(1.551)	(1.770)	(1.551)	(1.770)	(1.549)	(1.771)
i.pow.n3	-0.025	-0.025	-0.031	-0.025	-0.032	-0.025
	(0.043)	(0.043)	(0.042)	(0.043)	(0.042)	(0.043)
ij.syn.constraint	-7.210***	-7.159***	-3.405**	-7.160***	-3.309**	-7.141***
	(0.978)	(0.990)	(1.201)	(0.992)	(1.212)	(0.996)
ij.syn.pow.n3	0.002	0.002	0.002	0.001	0.019	0.002
	(0.006)	(0.006)	(0.005)	(0.028)	(0.030)	(0.006)
I(i.fm.mmc.sum^2)		-0.030	-0.019	-0.030	-0.019	-0.029
		(0.101)	(0.097)	(0.101)	(0.097)	(0.101)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-0.927***		-0.942***	
			(0.237)		(0.238)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				0.000	-0.002	
				(0.003)	(0.003)	
ij.syn.closeness2						-0.001
						(0.002)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						0.000
						(0.000)
Likelihood-ratio	367.8	367.9	384.2	367.9	384.5	368.0
Log-likelihood	-363.3	-363.2	-355.1	-363.2	-354.9	-363.1
Deviance	721.0	720.9	704.6	720.9	704.3	720.7
AIC	763.0	764.9	750.6	766.9	752.3	768.7
BIC	839.7	845.3	834.6	850.9	840.0	856.4
N	285	285	285	285	285	285
